English,Chinese,PartOfSpeech,type,Class,Semester,Unit,Page,VocabularyId,ConceptId,ContentKind,AudioText,AcceptedAnswers,QuizModes,ExampleSentence,ExampleChinese,ExampleStatus,BaseForm,PastTense,PastParticiple,FullForm,ShortForm,RelationType,RelatedTerms,SingularForm,PluralForm,ClozePrompt,ClozeAnswer,NeedsReview,ReviewNotes,SourceKind,SourceFile,SourceImage,OCRConfidence
hello,哈囉,interjection,word,Class 1,First Semester,U1,p.4,way_to_go_1-d2777c8f2177,concept-3365aac3f9d3,word,hello,hello,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
hi,嗨（用於打招呼）,interjection,word,Class 1,First Semester,U1,p.4,way_to_go_1-c958b2eeeaa1,concept-1dd65217cf94,word,hi,hi,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
what,什麼,pronoun,word,Class 1,First Semester,U1,p.4,way_to_go_1-963e7db2e852,concept-ced7dcd3a5e0,word,what,what,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
name,名字,noun,word,Class 1,First Semester,U1,p.4,way_to_go_1-f07dd23cbddb,concept-bb3449cf9c41,word,name,name,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
boy,男生,noun,word,Class 2,First Semester,U1,p.6,way_to_go_1-793d58b29798,concept-5811e0c4121b,word,boy,boy,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
girl,女生,noun,word,Class 2,First Semester,U1,p.6,way_to_go_1-1c97104d132a,concept-bfc4b4aaf1ed,word,girl,girl,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
a,一個,article,word,Class 2,First Semester,U1,p.6,way_to_go_1-0295c15f14ab,concept-6fd6f0e5ddde,word,a,a,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
here,在這裡,adverb,word,Class 2,First Semester,U1,p.5,way_to_go_1-7debbcae1148,concept-8221fba1f3c2,word,here,here,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
I,我（指自己）,pronoun,word,Class 3,First Semester,U1,p.6,way_to_go_1-3dc19f906f08,concept-27ad7d869a2f,word,I,I,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
am,是（Be 動詞）,verb,word,Class 3,First Semester,U1,p.6,way_to_go_1-b728a704eb70,concept-602b22a9c657,word,am,am,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
I am = I'm,我是,contraction,contraction_phrase,Class 3,First Semester,U1,p.6,way_to_go_1-e39d048212b2,concept-5f9f5bb402f7,contraction,I'm,I am|I'm,contraction_choice|contraction_input|listening,I'm a student.,我是一名學生。,curated,,,,I am,I'm,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
my,我的,determiner,word,Class 3,First Semester,U1,p.3,way_to_go_1-88ca3e9a3ee4,concept-21c6c512fe06,word,my,my,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
an,一個,article,word,Class 4,First Semester,U1,p.7,way_to_go_1-03244a23eb36,concept-b7f1740d6095,word,an,an,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
it,（無生命或動植物的）它,pronoun,word,Class 4,First Semester,U1,p.7,way_to_go_1-79bafc679129,concept-b69192ac1f0a,word,it,it,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_1_vocabulary_import.csv,,
